index,domain,object,author,text,likes,unlikes,stars,date,collect_date,replies,favorite,want_see,recommend,see,internal_id,sentimento
6252,apps,com.recarga.recarga,0,teria que ser um pouco mais rápido achei muito lento o sistema e não vão descontar mesmo né a primeira recarga,0,0,4.0,4 de março de 2019,11 de abril de 2019,,,,,,746789,0
4684,apps,com.adobe.reader,91988,"Esta última atualização ficou péssima. Retiraram a melhor função do app que é digitalizar arquivos e imagens NO PRÓPRIO APP, e não em outro app separado. Desinstalando...",64,0,2.0,27 de dezembro de 2018,8 de abril de 2019,,,,,,137550,0
1731,apps,com.r7.rederecord,402758,Não consigo ver o canal ao vivo. É só pra quem é assinante do R7 Play ??,0,0,1.0,29 de junho de 2016,11 de abril de 2019,,,,,,742592,0
4742,apps,com.mv.notas,353178,Poderia ter a opção de salvamento automático após fechamento do programa acidentalmente,0,0,2.0,26 de julho de 2018,12 de abril de 2019,,,,,,636097,0
4521,apps,br.com.bradesco.cartoes,0,"Eu baixei o app ,mas não estou conseguindo fazer o cadastro,sempre diz que estar temporariamente indisponível ,aff",0,0,2.0,23 de novembro de 2018,8 de abril de 2019,,,,,,21031,0
6340,apps,br.com.buscape.MainPack,0,Estou gostando fácil e prático!!!,1,0,4.0,5 de dezembro de 2018,8 de abril de 2019,,,,,,26660,1
576,apps,com.whatsapp.w4b,493632,Foi instalado mas nao aparece..nao funciona,7,0,1.0,4 de outubro de 2018,10 de abril de 2019,,,,,,927665,0
5202,apps,com.memrise.android.memrisecompanion,328049,"O aplicativo e ótimo, pena que o valor e muiro alto. Meu marido pagou em uma promoção e agora esta 3 vezes mais caro .",5,0,4.0,27 de setembro de 2018,22 de abril de 2019,,,,,,589233,0
6363,apps,br.com.kboing.playlists,33756,Não consigo escutar as músicas na ordem q quero. Só fica aleatório. Se não fosse isso dava 5 estrelas,0,0,4.0,23 de agosto de 2015,9 de abril de 2019,,,,,,49331,0
439,apps,com.grability.rappi,267719,"Desinstalei por que não funciona direito no meu celular. E olha que meu celular é um Motorola One, quer dizer, não é o melhor do mundo, mas é muito bom! Vou instalar de novo. Se funcionar, eu mudo a nota. Por enquanto, to só o ódio.",0,0,1.0,30 de janeiro de 2019,11 de abril de 2019,,,,,,463933,0
2750,apps,com.microsoft.office.powerpoint,342339,Ninja Conta não funciona eu boto a senha é ele diz que ela está errada mesmo que ela esteja certa,72,0,2.0,26 de outubro de 2018,9 de abril de 2019,,,,,,615841,0
